snapshot_at,country_code,country_name,rank,rank_points,video_id,title,channel_id,channel_name,category_id,category_name,published_at,duration,global_view_count,global_like_count,global_comment_count,thumbnail_url,countries_charting
2026-08-31T02:15:00.610597+00:00,DZ,Algeria,1,10,o-jDwgcfZDM,راي جزائري صامت - صعيب ولفك وانا مانيش صبار,UCiJpn-jHAZnomOagzz1cEUA,Najiri Vision | نجيري فيزيون - Topic,10,Music,2026-08-27T23:34:44Z,PT1M32S,80586,253,2,https://i.ytimg.com/vi/o-jDwgcfZDM/maxresdefault.jpg,3
2026-08-31T02:15:00.610597+00:00,DZ,Algeria,2,9,XiWxyqW--vk,GRAND THEFT ALGERIA  | Fan Trailer,UCcynp6wiL-nzAXW48FxB5jw,Proffesor X - بروفيسور ,22,People & Blogs,2026-08-27T16:03:43Z,PT1M31S,20700,766,107,https://i.ytimg.com/vi/XiWxyqW--vk/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,DZ,Algeria,3,8,RjQENj5FlOU,مقلب النوب في شخص عشوائي !!,UC2qdrMpLKn3GgeCwN65SX_Q,SA7RAWI Gaming,20,Gaming,2026-08-30T11:00:10Z,PT12M13S,240350,20450,1292,https://i.ytimg.com/vi/RjQENj5FlOU/maxresdefault.jpg,4
2026-08-31T02:15:00.610597+00:00,DZ,Algeria,4,7,KBn9EgNGJYI,Faycel Sghir x Abdou Gambetta - Ana 3liha Nma3ni ( Remix Rai 2027 ),UCSAg3zqjC3gI-owuTS31MMw,aYoBeats,10,Music,2026-08-28T17:29:25Z,PT3M30S,41084,269,5,https://i.ytimg.com/vi/KBn9EgNGJYI/maxresdefault.jpg,4
2026-08-31T02:15:00.610597+00:00,DZ,Algeria,5,6,940RDI9PhbQ,الجحلط الاكبر | 11# | Resident evil 4.,UC0z17SJ3bP5wEkG7x1ekhrg,DLT,22,People & Blogs,2026-08-30T16:37:31Z,PT1H21M52S,110417,8790,1742,https://i.ytimg.com/vi/940RDI9PhbQ/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,DZ,Algeria,6,5,NGCCy79SR0A,بريسيو راها عليا,UC-TLs7T84Jgi6aj-3OIVD-Q,vesco music - Topic,10,Music,2026-08-28T08:17:26Z,PT5M44S,35611,346,0,https://i.ytimg.com/vi/NGCCy79SR0A/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,DZ,Algeria,7,4,qsBLKTYLojw,اصبحت عامل نظافة في روبلوكس !!,UCjHq0FqdRB0JP-1CcokW3-w,SA7RAWI,20,Gaming,2026-08-30T13:00:20Z,PT34M31S,172148,10028,1255,https://i.ytimg.com/vi/qsBLKTYLojw/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,DZ,Algeria,8,3,q0VYmUoIcpA,te9etlini thabliniiiiiii تقتليني تهبليني,UCJDaal318UDu0cbuO4CRNPA,IA RAI STYLE - Topic,10,Music,2026-08-25T01:32:45Z,PT3M53S,42149,294,18,https://i.ytimg.com/vi/q0VYmUoIcpA/maxresdefault.jpg,2
2026-08-31T02:15:00.610597+00:00,DZ,Algeria,9,2,qKz4guyRfSI,أولاد الحومة | أقوى عملية اقتحام: البنك المركزي و حصرونا الشرطة😱 |قراند الحياة الواقعية gta5 rp,UCbiuMcVgMjmWKsDD1zOXvlQ,kaster gaming,24,Entertainment,2026-08-30T19:03:12Z,PT57M14S,45155,5223,806,https://i.ytimg.com/vi/qKz4guyRfSI/sddefault.jpg,1
2026-08-31T02:15:00.610597+00:00,DZ,Algeria,10,1,Jjdi4byLilA,DANI DANI DAN,UCUdhbWZZrOAhomLkPeM4WSw,H'Mix - Topic,10,Music,2026-08-26T12:00:44Z,PT2M53S,181706,618,0,https://i.ytimg.com/vi/Jjdi4byLilA/maxresdefault.jpg,2
2026-08-31T02:15:00.610597+00:00,AR,Argentina,1,10,2Va7JevAUok,JUAN JOSÉ PIEDRABUENA / Zapada EN VIVO en UN POCO DE RUIDO !,UCg6kTB4vw1XYFBR4TtHaBuQ,Un Poco De Ruido,10,Music,2026-08-29T23:00:08Z,PT39M19S,92973,1506,142,https://i.ytimg.com/vi/2Va7JevAUok/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AR,Argentina,2,9,r14fl2jb4Zo,¡TRAILER EXTENDIDO DE GTA VI!,UCm0ieYUIU0FijIulbZ4ukbw,Tiempo de Videojuegos,20,Gaming,2026-08-29T19:21:40Z,PT23M1S,488520,14041,759,https://i.ytimg.com/vi/r14fl2jb4Zo/maxresdefault.jpg,4
2026-08-31T02:15:00.610597+00:00,AR,Argentina,3,8,-SlvFCOVvTQ,POR CADA SALTO LLEGO MAS ALTO EN ROBLOX!🏔️,UColTsB6zogXWooPbeO67Wgw,ElAbrahaham,20,Gaming,2026-08-30T18:00:20Z,PT23M33S,547695,21750,2876,https://i.ytimg.com/vi/-SlvFCOVvTQ/maxresdefault.jpg,13
2026-08-31T02:15:00.610597+00:00,AR,Argentina,4,7,Too3XygnMdE,Juan Gabriel - Así Fue (En Vivo) (Letra/Lyrics),UC3OcsnHmfLzw0jSOr5ZYO3A,ROSES,10,Music,2026-08-29T20:00:10Z,PT7M3S,157384,705,3,https://i.ytimg.com/vi/Too3XygnMdE/maxresdefault.jpg,11
2026-08-31T02:15:00.610597+00:00,AR,Argentina,5,6,rkEHl4jCpLU,MI REACCIÓN al TRAILER de GTA 6 😱 - Nexxuz,UCggHFGmLDDStxyM-uy9DYnQ,Nexxuz World,24,Entertainment,2026-08-30T20:00:25Z,PT49M22S,130765,9679,361,https://i.ytimg.com/vi/rkEHl4jCpLU/maxresdefault.jpg,18
2026-08-31T02:15:00.610597+00:00,AR,Argentina,6,5,7jljnd_429U,Encerré a Mis Amigas en UN BLOQUE ENDERMAN en Minecraft!,UC62nFXtc3KNujp9LCPJt-sA,Awita,20,Gaming,2026-08-30T20:09:41Z,PT32M35S,223025,5060,425,https://i.ytimg.com/vi/7jljnd_429U/maxresdefault.jpg,4
2026-08-31T02:15:00.610597+00:00,AR,Argentina,7,4,kXcOItata8E,Romeo Santos - Que Se Mueran (Letra),UCU8FHs_uSV10jFb0RqpiqKQ,Velada,22,People & Blogs,2026-08-29T20:30:07Z,PT4M11S,58214,154,2,https://i.ytimg.com/vi/kXcOItata8E/maxresdefault.jpg,6
2026-08-31T02:15:00.610597+00:00,AR,Argentina,8,3,qaQlkyDnqNc,AQUINO reacciona al NUEVO TRAILER de GTA VI,UCDWfTlPBpzJjuR6fImZpzqA,AQUISI R,24,Entertainment,2026-08-30T19:00:13Z,PT38M23S,54803,2558,96,https://i.ytimg.com/vi/qaQlkyDnqNc/maxresdefault.jpg,7
2026-08-31T02:15:00.610597+00:00,AR,Argentina,9,2,be9JDTeBfUU,NUNCA ENTRES en la CASA de HOMERO MALVADO con Mandarina en Roblox,UC-cnbLlplnXA4oc7rR21qzg,Lyna,20,Gaming,2026-08-29T15:57:42Z,PT26M25S,789471,8678,608,https://i.ytimg.com/vi/be9JDTeBfUU/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AR,Argentina,10,1,nackUOghPgQ,Romeo Santos - Necio (Letra),UC6FXNmFfPjqpBHyxHgpFDxQ,ChriSync,10,Music,2026-08-30T05:33:13Z,PT4M25S,131753,611,4,https://i.ytimg.com/vi/nackUOghPgQ/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AM,Armenia,1,10,ZDRNHPDJdVM,Artur Arakelyan - El Chem Ga,UCMVJNVQkS3OiX3NZ_VY_UQQ,Artur Arakelyan,10,Music,2026-08-24T15:00:06Z,PT2M43S,1281337,7921,449,https://i.ytimg.com/vi/ZDRNHPDJdVM/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AM,Armenia,2,9,L2NAh3CIdig,Avengers Endgame: Encore | Official Trailer | In Theaters Sep 25,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment,24,Entertainment,2026-08-25T16:00:01Z,PT1M37S,13723396,319458,17219,https://i.ytimg.com/vi/L2NAh3CIdig/maxresdefault.jpg,29
2026-08-31T02:15:00.610597+00:00,AM,Armenia,3,8,6hjliIlHgCA,GTA 6-ի GAMEPLAY-ից լիքը կադրեր😱Saint-Hov REACTION,UCl4dy7u2kibajf-c9DIaGwA,Saint-Hov 🇦🇲,20,Gaming,2026-08-28T13:30:40Z,PT20M40S,61249,1530,71,https://i.ytimg.com/vi/6hjliIlHgCA/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AM,Armenia,4,7,RLb_eZKmUcM,Oksy Avdalyan - I Love You (Official Audio) 2026,UCJkJ7-e0l84ivMjnW5movYQ,Oksy Avdalyan,24,Entertainment,2026-08-24T16:00:06Z,PT2M27S,387659,5424,142,https://i.ytimg.com/vi/RLb_eZKmUcM/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AM,Armenia,5,6,z2ssxDUZqGk,😱ՀԱՆԵՑԻ ՍՏՈՐԳԵՏՆՅԱ ԿՈՆՏԵՅՆԵՐԸ. ԱՇԱԿԵՐՏԻ ԱՐԿԱԾՆԵՐԸ 157,UCN1IdMogjciXd4NDkE60udA,SB TV,20,Gaming,2026-08-30T09:30:52Z,PT15M31S,14650,651,15,https://i.ytimg.com/vi/z2ssxDUZqGk/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AM,Armenia,6,5,gRMtDGBtIbU,Ernest Ogannesyan - Qaminer,UC3FSH-ZNEm2n6Zi0J5GqBIQ,Ernest Ogannesyan,10,Music,2026-08-26T14:29:36Z,PT3M54S,347659,5711,258,https://i.ytimg.com/vi/gRMtDGBtIbU/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AM,Armenia,7,4,RYXzL5NEVgg,ՎԵՐՋԱՊԵՍ ԽԱՂՈՒՄ ԵՆՔ ONE BLOCK 🤩🔥 | AMH x TIKO x OFELYA | MINECRAFT,UCeKD4aXO5QbIQkzpYF9khVg,AMH LIVE,20,Gaming,2026-08-30T20:46:01Z,PT3H1M27S,13919,1286,2,https://i.ytimg.com/vi/RYXzL5NEVgg/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AM,Armenia,8,3,NOymUBDWfsU,Ara & Alik Avetisyanner - Ari Mots || NEW 2026,UCxj345GhyLhAXt1frYit9Lg,AVETISYAN_BROTHERS,10,Music,2026-08-24T15:00:15Z,PT3M15S,160706,1945,77,https://i.ytimg.com/vi/NOymUBDWfsU/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AM,Armenia,9,2,Dy06SXknr_g,World's Largest Minecraft Build!,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,20,Gaming,2026-08-29T16:00:00Z,PT24M59S,20329039,400432,13676,https://i.ytimg.com/vi/Dy06SXknr_g/maxresdefault.jpg,40
2026-08-31T02:15:00.610597+00:00,AM,Armenia,10,1,s8-kDPTNFY8,SIRUSHO - GANGUR VARSER,UC6834ubQWvySCcdZZfiLa0g,Sirusho,10,Music,2026-08-11T19:45:06Z,PT3M33S,2472332,14449,612,https://i.ytimg.com/vi/s8-kDPTNFY8/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AU,Australia,1,10,JqFzhcWo3EU,Yeshanagula | The Paradise | Nani | Keerthy Suresh | Anirudh Ravichander | Srikanth Odela,UC68nKdrLbLL0Vj7ilVkLmmg,Saregama Telugu,10,Music,2026-08-29T09:43:07Z,PT3M12S,33591008,451088,10577,https://i.ytimg.com/vi/JqFzhcWo3EU/maxresdefault.jpg,15
2026-08-31T02:15:00.610597+00:00,AU,Australia,2,9,qdyKbeIy87A,"UNABOMBER Official Trailer (2026) Russell Crowe, Shailene Woodley",UCzcRQ3vRNr6fJ1A9rqFn7QA,ONE Media,1,Film & Animation,2026-08-27T14:09:19Z,PT2M57S,988762,5248,993,https://i.ytimg.com/vi/qdyKbeIy87A/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AU,Australia,3,8,Dy06SXknr_g,World's Largest Minecraft Build!,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,20,Gaming,2026-08-29T16:00:00Z,PT24M59S,20329039,400432,13676,https://i.ytimg.com/vi/Dy06SXknr_g/maxresdefault.jpg,40
2026-08-31T02:15:00.610597+00:00,AU,Australia,4,7,s466YCiHfKw,JENNIE - FALLEN ANGEL (Official Video),UCN9_L9lA9kqJbGANLRus_1A,JennieRubyJaneVEVO,10,Music,2026-08-28T04:00:19Z,PT5M43S,13544483,951232,65064,https://i.ytimg.com/vi/s466YCiHfKw/maxresdefault.jpg,12
2026-08-31T02:15:00.610597+00:00,AU,Australia,5,6,6t7C4qaHihE,Ali G: Who Iz I? | Official Trailer,UCf5CjDJvsFvtVIhkfmKAwAA,Amazon MGM Studios,24,Entertainment,2026-08-25T13:00:10Z,PT2M11S,8080641,28883,2552,https://i.ytimg.com/vi/6t7C4qaHihE/maxresdefault.jpg,6
2026-08-31T02:15:00.610597+00:00,AU,Australia,6,5,1tffqhaqxRI,UPDATE 30 TRAILER + MAGNET SHOWCASE | Blox Fruits,UC_xlDCBWQPlihORIZLWtpbA,Gamer Robot,20,Gaming,2026-08-30T02:00:06Z,PT14M19S,4358733,195424,50307,https://i.ytimg.com/vi/1tffqhaqxRI/maxresdefault.jpg,6
2026-08-31T02:15:00.610597+00:00,AU,Australia,7,4,87gO7HMUHeo,"AZ Chike - Look Like My Mama ft. Tyler, The Creator",UC9h4PGPRsxAJmYM84k55sDA,Az Chike,10,Music,2026-08-28T04:00:06Z,PT3M53S,1414965,94228,3233,https://i.ytimg.com/vi/87gO7HMUHeo/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AU,Australia,8,3,L2NAh3CIdig,Avengers Endgame: Encore | Official Trailer | In Theaters Sep 25,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment,24,Entertainment,2026-08-25T16:00:01Z,PT1M37S,13723396,319458,17219,https://i.ytimg.com/vi/L2NAh3CIdig/maxresdefault.jpg,29
2026-08-31T02:15:00.610597+00:00,AU,Australia,9,2,mCDH5KnBx9o,GTA5 Has Rivers You've Never Seen,UCH_7doiCkWeq0v3ycWE5lDw,Any Austin,20,Gaming,2026-08-29T21:06:52Z,PT30M41S,2804319,71072,4698,https://i.ytimg.com/vi/mCDH5KnBx9o/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AU,Australia,10,1,ex6qyu8e-o0,"Czarface Meets Frankie Pulitzer - ""Mad Technology"" feat. Method Man (Official Music Video)",UCzIkDtJbnq8DM71uQZ0FN2A,CZARFACE,10,Music,2026-08-26T21:45:25Z,PT3M52S,430556,20542,1155,https://i.ytimg.com/vi/ex6qyu8e-o0/maxresdefault.jpg,1
2026-08-31T02:15:00.610597+00:00,AT,Austria,1,10,r58RX8_LSnI,"Andrea Berg - Das kann uns keiner nehmen (Liveclip ""Giovanni Zarrella Show"" vom 29.08.2026)",UCgV77Yzj32KppAo8FWF3EsQ,Andrea Berg,10,Music,2026-08-30T08:45:34Z,PT3M59S,73458,401,24,https://i.ytimg.com/vi/r58RX8_LSnI/maxresdefault.jpg,2
